File,Method,TimeRun(ms),TimeSynchronize(ms),TotalGoalAchieve,TotalPathSize,Error
map_128x128_a64_o32.data,0,293895960,18660,1,5532,OK
map_128x128_a64_o32.data,1,13691620,0,1,5531,OK
map_128x128_a64_o32.data,2,222595020,0,1,5531,OK
map_128x128_a64_o32.data,3,111725380,15420,1,5529,OK
map_128x128_a64_o32.data,4,146702340,725600,1,5531,OK
map_16x16_a63_o4.data,0,58762900,13340,1,755,OK
map_16x16_a63_o4.data,1,1019080,0,1,781,OK
map_16x16_a63_o4.data,2,75052220,0,1,783,OK
map_16x16_a63_o4.data,3,58352460,11940,1,759,OK
map_16x16_a63_o4.data,4,10285620,101200,1,783,OK
map_16x16_a64_o4.data,0,62936860,13700,1,765,OK
map_16x16_a64_o4.data,1,1047360,0,1,791,OK
map_16x16_a64_o4.data,2,86065500,0,1,793,OK
map_16x16_a64_o4.data,3,61845680,12220,1,769,OK
map_16x16_a64_o4.data,4,10810640,106240,1,793,OK
map_32x32_a63_o8.data,0,73405440,14420,1,1371,OK
map_32x32_a63_o8.data,1,1830560,0,1,1391,OK
map_32x32_a63_o8.data,2,113553200,0,1,1391,OK
map_32x32_a63_o8.data,3,63343380,12000,1,1375,OK
map_32x32_a63_o8.data,4,23151000,129400,1,1391,OK
map_512x512_a63_o128.data,0,2157019660,27740,1,22535,OK
map_512x512_a63_o128.data,1,165856220,0,1,22537,OK
map_512x512_a63_o128.data,2,788201000,0,1,22537,OK
map_512x512_a63_o128.data,3,183111660,33040,1,22536,OK
map_512x512_a63_o128.data,4,1500193520,12845280,1,22537,OK
map_1024x1024_a64_o192.data,0,4056484940,39840,1,43890,OK
map_1024x1024_a64_o192.data,1,574247240,0,1,43890,OK
map_1024x1024_a64_o192.data,2,1388468380,0,1,43890,OK
map_1024x1024_a64_o192.data,3,308736840,41380,1,43890,OK
map_1024x1024_a64_o192.data,4,5509709460,54466360,1,43890,OK
map_256x256_a64_o64.data,0,876993420,22520,1,10713,OK
map_256x256_a64_o64.data,1,48361260,0,1,10711,OK
map_256x256_a64_o64.data,2,379144300,0,1,10710,OK
map_256x256_a64_o64.data,3,49460160,18440,1,10711,OK
map_256x256_a64_o64.data,4,366516500,3278020,1,10710,OK
map_64x64_a63_o16.data,0,155479320,15160,1,2981,OK
map_64x64_a63_o16.data,1,5462100,0,1,2995,OK
map_64x64_a63_o16.data,2,151052520,0,1,2995,OK
map_64x64_a63_o16.data,3,107743000,13240,1,2984,OK
map_64x64_a63_o16.data,4,68422600,226900,1,2995,OK
map_32x32_a64_o8.data,0,81615540,15980,1,1387,OK
map_32x32_a64_o8.data,1,2018660,0,1,1412,OK
map_32x32_a64_o8.data,2,122716660,0,1,1412,OK
map_32x32_a64_o8.data,3,78876660,12660,1,1393,OK
map_32x32_a64_o8.data,4,24975160,122720,1,1412,OK
map_64x64_a64_o16.data,0,162729080,16900,2,2873,OK
map_64x64_a64_o16.data,1,6084680,0,1,2878,OK
map_64x64_a64_o16.data,2,168635040,0,1,2878,OK
map_64x64_a64_o16.data,3,64547520,15220,1,2872,OK
map_64x64_a64_o16.data,4,63982480,204640,1,2878,OK
map_128x128_a63_o32.data,0,267232980,18240,1,5417,OK
map_128x128_a63_o32.data,1,13594920,0,1,5416,OK
map_128x128_a63_o32.data,2,265201360,0,1,5416,OK
map_128x128_a63_o32.data,3,45683100,13320,1,5414,OK
map_128x128_a63_o32.data,4,144060980,723940,1,5416,OK
map_256x256_a63_o64.data,0,711084600,21600,1,10527,OK
map_256x256_a63_o64.data,1,49456960,0,1,10525,OK
map_256x256_a63_o64.data,2,381375320,0,1,10525,OK
map_256x256_a63_o64.data,3,45423980,17140,1,10525,OK
map_256x256_a63_o64.data,4,328914860,3087040,1,10524,OK
map_512x512_a64_o128.data,0,1682925100,29840,1,22665,OK
map_512x512_a64_o128.data,1,149777320,0,1,22663,OK
map_512x512_a64_o128.data,2,595885000,0,1,22663,OK
map_512x512_a64_o128.data,3,153068140,26160,1,22663,OK
map_512x512_a64_o128.data,4,1111419420,13554480,1,22661,OK
map_16x16_a31_o0.data,0,7454880,10340,2,337,OK
map_16x16_a31_o0.data,1,369260,0,2,342,OK
map_16x16_a31_o0.data,2,35483080,0,2,342,OK
map_16x16_a31_o0.data,3,3647960,5480,2,337,OK
map_16x16_a31_o0.data,4,3912480,91460,2,342,OK
map_1024x1024_a63_o256.data,0,4534774040,40400,1,45084,OK
map_1024x1024_a63_o256.data,1,586129300,0,1,45084,OK
map_1024x1024_a63_o256.data,2,1076772620,0,1,45084,OK
map_1024x1024_a63_o256.data,3,313792920,42100,1,45084,OK
map_1024x1024_a63_o256.data,4,4677854840,53700120,1,45084,OK
map_16x16_a8_o0.data,0,1570960,2180,1,93,OK
map_16x16_a8_o0.data,1,56680,0,1,93,OK
map_16x16_a8_o0.data,2,7919380,0,1,93,OK
map_16x16_a8_o0.data,3,329940,2460,1,93,OK
map_16x16_a8_o0.data,4,888300,70260,1,93,OK
map_1024x1024_a64_o256.data,0,4127899060,38620,1,39677,OK
map_1024x1024_a64_o256.data,1,543996000,0,1,39678,OK
map_1024x1024_a64_o256.data,2,1499946700,0,1,39678,OK
map_1024x1024_a64_o256.data,3,446094180,40500,1,39678,OK
map_1024x1024_a64_o256.data,4,4982144780,53943380,1,39678,OK
map_1024x1024_a64_o0.data,0,6636037680,42420,1,49264,OK
map_1024x1024_a64_o0.data,1,671296360,0,1,49264,OK
map_1024x1024_a64_o0.data,2,1618101500,0,1,49264,OK
map_1024x1024_a64_o0.data,3,353669600,42380,1,49264,OK
map_1024x1024_a64_o0.data,4,6443737680,54286880,1,49264,OK
map_1024x1024_a64_o64.data,0,5035548120,44140,1,48866,OK
map_1024x1024_a64_o64.data,1,763640500,0,1,48865,OK
map_1024x1024_a64_o64.data,2,1543234060,0,1,48865,OK
map_1024x1024_a64_o64.data,3,462929260,43380,1,48865,OK
map_1024x1024_a64_o64.data,4,7919681760,54415880,1,48865,OK
map_1024x1024_a64_o128.data,0,4418832500,40460,1,41376,OK
map_1024x1024_a64_o128.data,1,552351180,0,1,41375,OK
map_1024x1024_a64_o128.data,2,1491102600,0,1,41375,OK
map_1024x1024_a64_o128.data,3,269249400,38120,1,41375,OK
map_1024x1024_a64_o128.data,4,5019455540,54378780,1,41375,OK
map_16x16_a3_o0.data,0,753960,1420,1,37,OK
map_16x16_a3_o0.data,1,19480,0,1,37,OK
map_16x16_a3_o0.data,2,3639460,0,1,37,OK
map_16x16_a3_o0.data,3,257780,1020,1,37,OK
map_16x16_a3_o0.data,4,394820,76520,1,37,OK
map_16x16_a4_o0.data,0,998240,1600,1,47,OK
map_16x16_a4_o0.data,1,24180,0,1,46,OK
map_16x16_a4_o0.data,2,4610660,0,1,46,OK
map_16x16_a4_o0.data,3,264840,1300,1,46,OK
map_16x16_a4_o0.data,4,442160,73520,1,46,OK
map_16x16_a7_o0.data,0,1459100,2220,1,83,OK
map_16x16_a7_o0.data,1,50300,0,1,83,OK
map_16x16_a7_o0.data,2,8377720,0,1,83,OK
map_16x16_a7_o0.data,3,300500,2020,1,83,OK
map_16x16_a7_o0.data,4,783080,70340,1,83,OK
map_16x16_a15_o0.data,0,3232440,4020,2,175,OK
map_16x16_a15_o0.data,1,152900,0,2,177,OK
map_16x16_a15_o0.data,2,26748920,0,2,177,OK
map_16x16_a15_o0.data,3,1753020,10260,2,176,OK
map_16x16_a15_o0.data,4,2458640,191760,2,177,OK
map_16x16_a16_o0.data,0,6761660,9280,2,197,OK
map_16x16_a16_o0.data,1,183640,0,2,198,OK
map_16x16_a16_o0.data,2,28669940,0,2,198,OK
map_16x16_a16_o0.data,3,1287740,5000,2,197,OK
map_16x16_a16_o0.data,4,2293140,83200,2,198,OK
map_16x16_a32_o0.data,0,11623720,9720,2,351,OK
map_16x16_a32_o0.data,1,350380,0,2,356,OK
map_16x16_a32_o0.data,2,43041660,0,2,356,OK
map_16x16_a32_o0.data,3,4732200,7880,2,350,OK
map_16x16_a32_o0.data,4,4233380,99660,2,356,OK
map_16x16_a63_o0.data,0,116509220,15180,1,867,OK
map_16x16_a63_o0.data,1,1174260,0,1,898,OK
map_16x16_a63_o0.data,2,93129580,0,1,896,OK
map_16x16_a63_o0.data,3,106191620,12560,1,866,OK
map_16x16_a63_o0.data,4,12563720,102400,1,896,OK
map_16x16_a64_o0.data,0,117700400,13620,1,881,OK
map_16x16_a64_o0.data,1,1210940,0,1,916,OK
map_16x16_a64_o0.data,2,94642080,0,1,912,OK
map_16x16_a64_o0.data,3,111629660,13260,1,881,OK
map_16x16_a64_o0.data,4,12654940,96120,1,912,OK
